2023-05-21 01:17:35.671 [main] INFO  com.solvd.laba.Main - Testing program...
2023-05-21 01:17:35.675 [main] INFO  com.solvd.laba.Main - New MedicalEmployee mapped{Paul=180}
2023-05-21 01:17:35.676 [main] INFO  com.solvd.laba.Main - New MedicalEmployee mapped{Paul=180, Emma=128}
2023-05-21 01:17:35.676 [main] INFO  com.solvd.laba.Main - New MedicalEmployee mapped{Paul=180, Emma=124}
2023-05-21 01:17:35.678 [main] INFO  com.solvd.laba.Main - Logging Patient's name to Patient file: John
2023-05-21 01:17:35.679 [main] INFO  com.solvd.laba.Main - Constructing Patient Form
2023-05-21 01:17:35.680 [main] INFO  com.solvd.laba.Main - Constructing Appointment Form
2023-05-21 01:17:35.681 [main] INFO  com.solvd.laba.Main - Logging Name Patient to Appointment file: John
2023-05-21 01:17:37.524 [main] INFO  com.solvd.laba.Main - Stethoscope Equipped
2023-05-21 01:17:37.524 [main] INFO  com.solvd.laba.Main - Sphygmomanometer Equipped
2023-05-21 01:17:37.524 [main] INFO  com.solvd.laba.Main - Thermometer Equipped
2023-05-21 01:17:37.525 [main] INFO  com.solvd.laba.Main - Logging Patient's name to Patient file: Greg
2023-05-21 01:17:37.525 [main] INFO  com.solvd.laba.Main - Constructing Patient Form
2023-05-21 01:17:37.525 [main] INFO  com.solvd.laba.Main - Finding Patient in files: Greg
2023-05-21 01:17:37.526 [main] ERROR com.solvd.laba.Main - This Patient is not on Paul's appointment list
2023-05-21 01:17:37.527 [main] INFO  com.solvd.laba.Main - Finding Patient in files: John
2023-05-21 01:17:37.527 [main] INFO  com.solvd.laba.Main - Successfully found Patient Name, returning WellnessForm
2023-05-21 01:17:37.528 [main] INFO  com.solvd.laba.Main - Constructing Wellness Form
2023-05-21 01:17:37.528 [main] INFO  com.solvd.laba.Main - Successfully Diagnosing patient
2023-05-21 01:17:37.529 [main] INFO  com.solvd.laba.Main - Logging Patient's name to Patient file: James
2023-05-21 01:17:37.529 [main] INFO  com.solvd.laba.Main - Constructing Patient Form
2023-05-21 01:17:37.541 [main] INFO  com.solvd.laba.Main - Constructing Patient Form
2023-05-21 01:17:37.541 [main] INFO  com.solvd.laba.Main - Logging Name Patient to Patient file: Elijiah
2023-05-21 01:17:37.541 [main] INFO  com.solvd.laba.Main - New MedicalEmployee mapped{Saul=180, Paul=180, Emma=124}
2023-05-21 01:17:37.542 [main] INFO  com.solvd.laba.Main - Constructing Surgery Card
2023-05-21 01:17:37.544 [main] INFO  com.solvd.laba.Main - New MedicalEmployee mapped{Saul=180, Paul=180, Emma=124, Jane=96}
